_id,name,contact,title,phone
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,88.60.15.31
BONAP,Bon app',Laurence Lebihan,Owner,91.24.45.40
DUMON,Du monde entier,Janine Labrune,Owner,40.67.88.88
FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,20.16.10.16
FRANR,France restauration,Carine Schmitt,Marketing Manager,40.32.21.21
LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,30.59.84.10
LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,61.77.61.10
PARIS,Paris spécialités,Marie Bertrand,Owner,(1) 42.34.22.66
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,(1) 47.55.60.10
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,78.32.54.86
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,26.47.15.10
